"MATERIAL","LANGU","TXTMD"
"000000000020000220","E","Đầu heo nguyên cái NL"
"000000000020000221","E","Đầu lòng không Da Đầu và Tai NL"
"000000000020000222","E","Đầu lòng nguyên bộ NL"
"000000000020000223","E","Dồi trường NL"
"000000000020000224","E","Gan heo NL"
"000000000020000225","E","Lá mía NL"
"000000000020000226","E","Lưỡi heo NL"
"000000000020000227","E","Mỡ chài NL"
"000000000020000228","E","Óc heo NL"
"000000000020000229","E","(Do not use) Phế phẩm Đầu Lòng NL"
"000000000020000230","E","Phèo non NL"
"000000000020000231","E","Phèo vàng NL"
"000000000020000232","E","Phổi heo NL"
"000000000020000233","E","Tai heo NL"
"000000000020000234","E","Thú linh NL"
"000000000020000235","E","Tim heo NL"
"000000000020000236","E","Ba chỉ bò Canada NL"
"000000000020000237","E","Ba chỉ bò Mỹ NL"
"000000000020000238","E","Ba chỉ bò Úc NL"
"000000000020000239","E","Bắp bò Úc NL"
"000000000020000240","E","Bắp hoa bò Mỹ NL"
"000000000020000241","E","(Do not use) Bắp hoa bò Úc NL"
"000000000020000242","E","(Do not use) Đầu thăn ngoại bò Mỹ NL"
"000000000020000243","E","Dẻ sườn bò Mỹ NL"
"000000000020000244","E","Gàu bò Úc NL"
"000000000020000245","E","Lõi vai bò Mỹ NL"
"000000000020000246","E","Mỡ bò Úc NL"
"000000000020000247","E","Nạc vai bò Úc NL"
"000000000020000248","E","Nạc vai, Thăn vai bò Mỹ NL"
"000000000020000249","E","Thịt đùi bò Úc NL"
"000000000020000250","E","Vụn bò Úc NL"
"000000000020000251","E","(Do not use) Cá hồi NL"
"000000000020000252","E","Dè nạc cá tra đông lạnh"
"000000000020000253","E","(Do not use) Heo xay đông lạnh nhập khẩu"
"000000000020000254","E","(Do not use) Nạc đùi gà không xương có d"
"000000000020000255","E","Surimi GS400"
"000000000020000256","E","Xanhthagum Novaxan 200"
"000000000020000257","E","(Do not use) Trứng gà CN S24 NL"
"000000000020000258","E","(Do not use) Gà nguyên con - Trống"
"000000000020000259","E","(Do not use) Gà nguyên con - Mái"
"000000000020000260","E","(Do not use) Vịt nguyên con"
"000000000020000261","E","(Do not use) Chất chống oxy hóa Super-An"
"000000000020000262","E","Clip chì 11mm"
"000000000020000263","E","Clip chì 502"
"000000000020000264","E","Clip chì 503"
"000000000020000265","E","(Do not use) Tiêu đen xay"
"000000000020000266","E","Phèo non NL PL"
"000000000020000267","E","Lưỡi NL PL"
"000000000020000268","E","Bao tử NL PL"
"000000000020000269","E","Lá mía NL PL"
"000000000020000270","E","(Do not use) Đá viên bao 12kg"
"000000000020000271","E","Bột chiên xù đông lạnh màu cam FC087"
"000000000020000272","E","Tinh bột bắp (Maize starch)"
"000000000020000273","E","Bột năng đa dụng Meizan"
"000000000020000274","E","Bột nếp Tài Ký"
"000000000020000275","E","Phô mai Mozzarella NZMP 10kg"
"000000000020000276","E","Bơ lạt President 82% fat"
"000000000020000277","E","Kem sữa tiệt trùng PB 1L"
"000000000020000278","E","MASEMUL PGPR 9090"
"000000000020000279","E","Chili Extract OSL"
"000000000020000280","E","(Do not use) Đầu mực ống đông lạnh 41/50"
"000000000020000281","E","Bột thịt tôm BTT"
"000000000020000282","E","(Do not use) Sanacel wheat 90"
"000000000020000283","E","Fast Soluble Tripolyphosphat - STPP"
"000000000020000284","E","Tetrasodium Pyrophosphate Food Grade"
"000000000020000285","E","Hương cá JOO-21651"
"000000000020000286","E","Dịch chiết bò tươi GF -7-3"
"000000000020000287","E","Dè mỡ cá tra đông lạnh"
"000000000020000288","E","Hương tôm 060323-1"
"000000000020000289","E","(Do not use) Quế cây"
"000000000020000290","E","Hoa hồi"
"000000000020000291","E","(Do not use) Hương bắp 503813 AHPL0504"
"000000000020000292","E","(Do not use) Bột tôm BTO (BTOP12)"
"000000000020000293","E","Chiết xuất nấm men KA536"
"000000000020000294","E","NGÒ TÂY"
"000000000020000295","E","(Do not use) Xốt cay vị Hàn Quốc 25gr"
"000000000020000296","E","(Do not use) Clip S628 GH groove-219953"
"000000000020000297","E","Màu Caramel CH1000"
"000000000020000298","E","Bột mì đa dụng cao cấp Meizan"
