subaccount,sub_act,bs_pl,allocate,mapping,bu
"D588BS55D75","D588BS55D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS83D73","D588BS83D73","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS85D75","D588BS85D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BS86D75","D588BS86D75","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D588BW01D00","D588BW01D00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"D937B000000","D937B000000","PL","Func.Dept_BU Swine North 2","",""
"F162C000000","F162C000000","PL","Func.Dept_BU Swine North 1","",""
"F162CC02000","F162CC02000","PL","Func.Dept_BU Swine North 1","",""
"F162CG01000","F162CG01000","PL","Func.Dept_BU Swine North 1","",""
"G480B000D00","G480B000D00","PL","SwineFarm_Cambodia 2","Cambodia 2","Oversea"
"G480BA04D00","G480BA04D00","PL","SwineFarm_Cambodia 2","Cambodia 2","Oversea"
"K1000000A01","K1000000A01","PL","Feed_Paid on Behalf","Feed_Paid on Behalf",""
"K3000000000","K3000000000","PL","Func.Dept_Group","",""
"K3000000D00","K3000000D00","PL","Func.Dept_Swine Group","",""
"K3000000D01","K3000000D01","PL","Func.Dept_Swine Group","",""
"K3000000P80","K3000000P80","PL","Func.Dept_Poultry Group","",""
"K3000C02000","K3000C02000","PL","Func.Dept_Group","",""
"K3000C02P00","K3000C02P00","PL","Func.Dept_Poultry Group","",""
"K3000D02D00","K3000D02D00","PL","Func.Dept_Swine Group","",""
"K3000D07000","K3000D07000","PL","Func.Dept_Group","",""
"K3000F01000","K3000F01000","PL","Func.Dept_Group","",""
"K3000H01000","K3000H01000","PL","Func.Dept_Group","",""
"K3000H01P70","K3000H01P70","PL","Func.Dept_Poultry Group","",""
"K3000H01P80","K3000H01P80","PL","Func.Dept_Poultry Group","",""
"K3000H05000","K3000H05000","PL","Func.Dept_Group","",""
"K3000I01000","K3000I01000","PL","Func.Dept_Group","",""
"K3000M01000","K3000M01000","PL","Func.Dept_Group","",""
"K3000M08000","K3000M08000","PL","Func.Dept_Group","",""
"K3000M08P80","K3000M08P80","PL","Func.Dept_Poultry Group","",""
"K3000M16000","K3000M16000","PL","Func.Dept_Group","",""
"K3000M20000","K3000M20000","PL","Func.Dept_Group","",""
"K3000P01000","K3000P01000","PL","Func.Dept_Group","",""
"K3000P01P80","K3000P01P80","PL","Func.Dept_Poultry Group","",""
"K3000S05000","K3000S05000","PL","Func.Dept_Group","",""
"K3000T01000","K3000T01000","PL","Func.Dept_Swine Group","",""
"K3000T01D00","K3000T01D00","PL","Func.Dept_Swine Group","",""
"K3000T02000","K3000T02000","PL","Func.Dept_Swine Group","",""
"K3000T02D00","K3000T02D00","PL","Func.Dept_Swine Group","",""
"K3000T03P80","K3000T03P80","PL","Func.Dept_Poultry Group","",""
"K3000T05D00","K3000T05D00","PL","Func.Dept_Swine Group","",""
"K3000T05P80","K3000T05P80","PL","Func.Dept_Poultry Group","",""
"K3000T07000","K3000T07000","PL","Func.Dept_Swine Group","",""
